# Extreme distributed loads (per-unit-span)
# Source     : provided r/R flap-edge dataset (Fx -> q_y flapwise, Fy -> q_z edgewise),
#              interpolated to blade_spanwise_distribution.dat grid using
#              radial_pos / R_tip with R_tip = max(radial_pos).
# Convention : SI units (m, N, N*m). Per-unit-span quantities use "/m".
# Datum      : section frame; q_y is flapwise, q_z is edgewise, m_x is twist per unit span.
#
# Schema (in column order):
#   spanwise_pos   [m]       spanwise position z (matches blade_spanwise_distribution.dat grid)
#   radial_pos     [m]       radial position r from rotor centre
#   q_y_Npm        [N/m]     distributed flapwise force per unit span
#   q_z_Npm        [N/m]     distributed edgewise force per unit span
#   m_x_Nmpm       [N*m/m]   distributed twisting moment per unit span
#
# units: m, m, N/m, N/m, N*m/m
  spanwise_pos     radial_pos          q_y_Npm          q_z_Npm         m_x_Nmpm
      5.720000     7.09500000       127341.545        20488.231         1741.219
      5.775000     7.15000000       128222.644        20347.207         1752.665
      5.830000     7.20500000       129103.743        20206.183         1764.118
      5.885000     7.26000000       129996.453        20169.640         1775.950
      5.940000     7.31500000       130896.878        20202.540         1788.031
      5.995000     7.37000000       131797.304        20235.441         1800.113
      6.050000     7.42500000       132639.908        20276.660         1811.441
      6.105000     7.48000000       133479.672        20318.287         1822.733
      6.160000     7.53500000       134280.452        20345.884         1833.477
      6.215000     7.59000000       135000.822        20344.541         1843.090
      6.270000     7.64500000       135721.193        20343.198         1852.704
      6.325000     7.70000000       136423.622        20321.372         1862.039
      6.380000     7.75500000       137119.185        20291.707         1871.269
      6.435000     7.81000000       137837.229        20256.452         1880.789
      6.490000     7.86500000       138686.940        20188.449         1892.007
      6.545000     7.92000000       139536.651        20120.447         1903.228
      6.600000     7.97500000       140372.770        20038.821         1914.244
      6.655000     8.03000000       141199.709        19947.992         1925.125
      6.710000     8.08500000       142023.993        19856.605         1935.972
      6.765000     8.14000000       142817.217        19758.674         1946.397
      6.820000     8.19500000       143610.440        19660.743         1956.825
      6.875000     8.25000000       144418.492        19557.574         1967.446
      6.930000     8.30500000       145236.684        19450.823         1978.201
      6.985000     8.36000000       146051.894        19341.875         1988.915
      7.040000     8.41500000       146849.485        19219.946         1999.376
      7.095000     8.47000000       147647.077        19098.017         2009.841
      7.150000     8.52500000       148376.045        18973.579         2019.387
      7.205000     8.58000000       149080.109        18848.229         2028.603
      7.260000     8.63500000       149793.383        18741.933         2037.978
      7.315000     8.69000000       150522.810        18669.059         2047.628
      7.370000     8.74500000       151246.743        18595.275         2057.205
      7.425000     8.80000000       151819.857        18496.499         2064.723
      7.480000     8.85500000       152392.972        18397.723         2072.243
      7.535000     8.91000000       152868.724        18282.868         2078.435
      7.590000     8.96500000       153312.393        18162.715         2084.191
      7.645000     9.02000000       153659.131        18024.999         2088.622
      7.700000     9.07500000       153915.066        17870.831         2091.812
      7.755000     9.13000000       154114.180        17708.120         2094.231
      7.810000     9.18500000       154197.836        17528.050         2095.077
      7.865000     9.24000000       154259.206        17348.290         2095.627
      7.920000     9.29500000       154228.427        17169.809         2094.946
      7.975000     9.35000000       154183.379        16992.435         2094.078
      8.030000     9.40500000       154026.532        16823.726         2091.725
      8.085000     9.46000000       153852.200        16652.084         2089.135
      8.140000     9.51500000       153494.713        16449.702         2084.044
      8.195000     9.57000000       153129.781        16244.091         2078.851
      8.250000     9.62500000       152709.511        16014.474         2072.883
      8.305000     9.68000000       152256.458        15783.895         2066.477
      8.360000     9.73500000       151679.621        15549.683         2058.407
      8.415000     9.79000000       151019.174        15309.838         2049.208
      8.470000     9.84500000       150211.011        15060.041         2038.015
      8.525000     9.90000000       149242.779        14800.270         2024.660
      8.580000     9.95500000       148156.957        14533.174         2009.719
      8.635000    10.01000000       146804.210        14270.845         1991.199
      8.690000    10.06500000       145333.944        14008.338         1971.101
      8.745000    10.12000000       143577.296        13741.982         1947.151
      8.800000    10.17500000       141576.002        13461.036         1919.896
      8.855000    10.23000000       139379.351        13169.141         1890.001
      8.910000    10.28500000       136794.943        12860.393         1854.875
      8.965000    10.34000000       133896.439        12536.197         1815.507
      9.020000    10.39500000       130676.395        12194.948         1771.797
      9.075000    10.45000000       127059.287        11831.025         1722.720
      9.130000    10.50500000       122837.340        11434.792         1665.474
      9.185000    10.56000000       118097.941        11011.635         1601.238
      9.240000    10.61500000       112744.822        10554.334         1528.710
      9.295000    10.67000000       106628.196        10052.743         1445.864
      9.350000    10.72500000        99541.858         9495.671         1349.916
      9.405000    10.78000000        91252.342         8859.087         1237.698
      9.460000    10.83500000        81290.852         8082.500         1102.838
      9.515000    10.89000000        68552.168         7017.516          930.291
      9.570000    10.94500000        51122.398         5384.569          693.970
      9.625000    11.00000000        13663.183         1476.000          185.526
