# Blade spanwise distribution
# Source     : data_library/tidal_blade_radial_source.tsv (interpolated).
# Convention : SI units (m, deg, 1/m). Dimensionless = "-".
# Datum      : first row z = 0 at first tabulated station; radial r (hub) there is 1.375 m.
#              r/R and z/L are root-to-tip 0 to 1.
# Notes      : twist beta is structural built twist / washout (not angle of attack or pitch DOF).
#              naca_series: 4=four-digit, 5=five-digit, 6=six-series.
#              naca_m for 6-series is the family (e.g. 63 / 64); naca_p = design Cl*10; naca_xx = thickness %.
#              Full-span NACA 63-415 baseline: naca_series=6, naca_m=63, naca_p=4, naca_xx=15.
#
# Schema (in column order):
#   spanwise_pos       [m]     spanwise position z, root to tip
#   radial_pos         [m]     radial position r from rotor centre
#   norm_radial_pos    [-]     r / R_tip, 0 -> 1
#   norm_spanwise_pos  [-]     z / L,     0 -> 1
#   chord_dist         [m]     chord length c at this station
#   twist_dist         [deg]   structural built twist (washout) beta
#   naca_series        [-]     NACA family code (4, 5 or 6)
#   naca_m             [-]     NACA "m" digit(s)
#   naca_p             [-]     NACA "p" digit
#   naca_xx            [-]     NACA thickness in %
#   kappa0_x           [1/m]   reference curvature about x
#   kappa0_y           [1/m]   reference curvature about y
#   kappa0_z           [1/m]   reference twist about z
#
# units: m, m, -, -, m, deg, -, -, -, -, 1/m, 1/m, 1/m
  spanwise_pos     radial_pos  norm_radial_pos  norm_spanwise_pos      chord_dist      twist_dist  naca_series   naca_m   naca_p  naca_xx     kappa0_x     kappa0_y     kappa0_z
      1.595000     2.97000000     0.1657142857       0.1657142857     1.940960175    16.932915294            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.650000     3.02500000     0.1714285714       0.1714285714     1.929448689    16.524375182            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.705000     3.08000000     0.1771428571       0.1771428571     1.916301681    16.148903256            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.760000     3.13500000     0.1828571429       0.1828571429     1.903126390    15.774003212            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.815000     3.19000000     0.1885714286       0.1885714286     1.888980074    15.421372786            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.870000     3.24500000     0.1942857143       0.1942857143     1.874478251    15.076895717            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.925000     3.30000000     0.2000000000       0.2000000000     1.859716348    14.742129960            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      1.980000     3.35500000     0.2057142857       0.2057142857     1.844508573    14.424013673            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.035000     3.41000000     0.2114285714       0.2114285714     1.829300798    14.105897387            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.090000     3.46500000     0.2171428571       0.2171428571     1.813177369    13.812226198            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.145000     3.52000000     0.2228571429       0.2228571429     1.796936818    13.521681644            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.200000     3.57500000     0.2285714286       0.2285714286     1.780584341    13.237680914            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.255000     3.63000000     0.2342857143       0.2342857143     1.763945191    12.970440581            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.310000     3.68500000     0.2400000000       0.2400000000     1.747306055    12.703200248            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.365000     3.74000000     0.2457142857       0.2457142857     1.730080523    12.446425526            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.420000     3.79500000     0.2514285714       0.2514285714     1.712364651    12.198402254            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.475000     3.85000000     0.2571428571       0.2571428571     1.694648780    11.950378981            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.530000     3.90500000     0.2628571429       0.2628571429     1.676764815    11.720418387            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.585000     3.96000000     0.2685714286       0.2685714286     1.658817353    11.497281693            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.640000     4.01500000     0.2742857143       0.2742857143     1.640869904    11.274144998            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.695000     4.07000000     0.2800000000       0.2800000000     1.622939670    11.065961279            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.750000     4.12500000     0.2857142857       0.2857142857     1.605014139    10.861839049            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.805000     4.18000000     0.2914285714       0.2914285714     1.587088594    10.657716819            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.860000     4.23500000     0.2971428571       0.2971428571     1.569951295    10.464139350            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.915000     4.29000000     0.3028571429       0.3028571429     1.553000818    10.273061110            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      2.970000     4.34500000     0.3085714286       0.3085714286     1.536050340    10.081982870            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.025000     4.40000000     0.3142857143       0.3142857143     1.519805870     9.900544017            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.080000     4.45500000     0.3200000000       0.3200000000     1.503705596     9.721073903            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.135000     4.51000000     0.3257142857       0.3257142857     1.487605323     9.541603789            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.190000     4.56500000     0.3314285714       0.3314285714     1.472201115     9.371265060            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.245000     4.62000000     0.3371428571       0.3371428571     1.456917426     9.202507504            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.300000     4.67500000     0.3428571429       0.3428571429     1.441633751     9.033749949            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
